cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A19.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,5,F,3_38_F,-8.878395324837827,30.655349296989687,B003275,FALSE,NA
A19.B003728.3_56_F.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte,CL:0000128,NA,7,F,3_56_F,1.7119803362051014,-1.8327286169019024,B003728,FALSE,NA
A19.MAA000550.3_10_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,3,M,3_10_M,9.282119762816894,-28.9091762515545,MAA000550,FALSE,NA
A19.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_10_M,-7.257061914426087,-23.113010311356845,MAA000560,FALSE,NA
A19.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_10_M,35.31213353910536,1.323813835021394,MAA000561,FALSE,NA
A19.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,brain pericyte,CL:2000043,NA,8,M,3_10_M,5.4309162978985155,22.122075273232568,MAA000581,FALSE,NA
A19.MAA000926.3_9_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_9_M,19.111022994782086,16.648588026384065,MAA000926,TRUE,1
A19.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_8_M,16.529349934270815,12.449760358769213,MAA000930,TRUE,1
A19.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,4.606108917350764,0.5947349573235794,MAA000944,FALSE,NA
A2.B003277.3_39_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,F,3_39_F,1.3015755814779637,1.3240718751802913,B003277,FALSE,NA
A2.B003290.3_38_F.1.1,Brain_Non-Myeloid,Striatum,endothelial cell,CL:0000115,NA,5,F,3_38_F,-9.79780069445105,30.637663679963268,B003290,FALSE,NA
