cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids
O21.MAA001888.3_39_F.1.1,Marrow,T-cells,Multiple,MAA001888,immature NK T cell,CL:0000914,immature NK T cell,11,F,3_39_F,TRUE,4,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,immature B cell,CL:0000816,NA,6,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.D042467.3_9_M.1.1,Marrow,T-cells,Multiple,D042467,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,macrophage,CL:0000235,NA,10,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte,CL:0000094,NA,3,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-positive multipotent progenitor cell,CL:0002036,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,5,FALSE,NA
O22.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
O22.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,5,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O22.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,M,3_10_M,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA,FALSE,NA
