"","nGene","nReads","orig.ident"
"B11.MAA000600.3_8_M.1.1",3972,499812,"Marrow"
"B11.MAA000639.3_9_M.1.1",2229,1255770,"Marrow"
"B11.MAA000652.3_10_M.1.1",1410,177692,"Marrow"
"B11.MAA000844.3_10_M.1.1",1377,243031,"Marrow"
"B11.MAA000848.3_10_M.1.1",3669,400431,"Marrow"
"B11.MAA001844.3_38_F.1.1",4170,1197312,"Marrow"
"B11.MAA001884.3_38_F.1.1",1798,1209613,"Marrow"
"B11.MAA001887.3_39_F.1.1",4193,495339,"Marrow"
"B12.D041912.3_8_M.1.1",3586,609666,"Marrow"
"B12.D042193.3_8_M.1.1",4391,912634,"Marrow"
"B12.D042467.3_9_M.1.1",3550,825121,"Marrow"
"B12.D042479.3_8_M.1.1",1698,217356,"Marrow"
"B12.MAA000409.3_10_M.1.1",1646,517035,"Marrow"
"B12.MAA000600.3_8_M.1.1",3629,423699,"Marrow"
"B12.MAA000652.3_10_M.1.1",1621,214805,"Marrow"
"B12.MAA000848.3_10_M.1.1",3632,539298,"Marrow"
"B12.MAA001844.3_38_F.1.1",4678,1239120,"Marrow"
"B12.MAA001883.3_39_F.1.1",4081,580664,"Marrow"
"B12.MAA001884.3_38_F.1.1",2646,1189134,"Marrow"
"B12.MAA001887.3_39_F.1.1",4057,422080,"Marrow"
"B13.D041912.3_8_M.1.1",3687,721158,"Marrow"
"B13.D042044.3_9_M.1.1",3535,862274,"Marrow"
"B13.D042193.3_8_M.1.1",1954,697940,"Marrow"
"B13.D042479.3_8_M.1.1",1833,306471,"Marrow"
"B13.D045140.3_38_F.1.1",934,544971,"Marrow"
"B13.MAA000409.3_10_M.1.1",1330,293625,"Marrow"
"B13.MAA000596.3_9_M.1.1",5997,748097,"Marrow"
"B13.MAA000600.3_8_M.1.1",4387,677422,"Marrow"
"B13.MAA000652.3_10_M.1.1",2060,246442,"Marrow"
"B13.MAA000844.3_10_M.1.1",1793,417665,"Marrow"
"B13.MAA000848.3_10_M.1.1",3973,602642,"Marrow"
"B13.MAA001844.3_38_F.1.1",3894,1008284,"Marrow"
