overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,,,,,,,,,,Naa25,,,,,,
,,,,,,,,,,,Naa30,,,,,,
,,,,,,,,,,,Naa35,,,,,,
,,,,,,,,,,,Nab1,,,,,,
,,,,,,,,,,,Nab2,,,,,,
,,,,,,,,,,,Nacc1,,,,,,
,,,,,,,,,,,Nadk,,,,,,
,,,,,,,,,,,Nae1,,,,,,
,,,,,,,,,,,Naif1,,,,,,
,,,,,,,,,,,Nap1l4,,,,,,
,,,,,,,,,,,Napa,,,,,,
,,,,,,,,,,,Napg,,,,,,
,,,,,,,,,,,Naprt1,,,,,,
,,,,,,,,,,,Nars,,,,,,
,,,,,,,,,,,Nat6,,,,,,
,,,,,,,,,,,Nbeal2,,,,,,
,,,,,,,,,,,Nbr1,,,,,,
,,,,,,,,,,,Ncaph2,,,,,,
,,,,,,,,,,,Ncbp1,,,,,,
,,,,,,,,,,,Nck1,,,,,,
,,,,,,,,,,,Nck2,,,,,,
,,,,,,,,,,,Nckap1,,,,,,
,,,,,,,,,,,Ncl,,,,,,
,,,,,,,,,,,Ncoa4,,,,,,
,,,,,,,,,,,Ndfip2,,,,,,
,,,,,,,,,,,Ndnl2,,,,,,
,,,,,,,,,,,Ndor1,,,,,,
,,,,,,,,,,,Ndufa10,,,,,,
,,,,,,,,,,,Ndufa11,,,,,,
,,,,,,,,,,,Ndufa4,,,,,,
,,,,,,,,,,,Ndufa8,,,,,,
,,,,,,,,,,,Ndufa9,,,,,,
,,,,,,,,,,,Ndufab1,,,,,,
,,,,,,,,,,,Ndufaf4,,,,,,
,,,,,,,,,,,Ndufb11,,,,,,
,,,,,,,,,,,Ndufb2,,,,,,
,,,,,,,,,,,Ndufb5,,,,,,
,,,,,,,,,,,Ndufb7,,,,,,
,,,,,,,,,,,Ndufb8,,,,,,
,,,,,,,,,,,Ndufb9,,,,,,
,,,,,,,,,,,Ndufc2,,,,,,
,,,,,,,,,,,Ndufs1,,,,,,
,,,,,,,,,,,Ndufs3,,,,,,
,,,,,,,,,,,Ndufs4,,,,,,
,,,,,,,,,,,Ndufs6,,,,,,
,,,,,,,,,,,Ndufs8,,,,,,
,,,,,,,,,,,Ndufv1,,,,,,
,,,,,,,,,,,Ndufv2,,,,,,
,,,,,,,,,,,Necap2,,,,,,
,,,,,,,,,,,Nek6,,,,,,
,,,,,,,,,,,Nemf,,,,,,
,,,,,,,,,,,Nf2,,,,,,
,,,,,,,,,,,Nfkb2,,,,,,
,,,,,,,,,,,Nfs1,,,,,,
,,,,,,,,,,,Nfu1,,,,,,
,,,,,,,,,,,Nfx1,,,,,,
,,,,,,,,,,,Ngdn,,,,,,
,,,,,,,,,,,Ngly1,,,,,,
,,,,,,,,,,,Ngrn,,,,,,
,,,,,,,,,,,Nhsl1,,,,,,
,,,,,,,,,,,Niacr1,,,,,,
,,,,,,,,,,,Ninj1,,,,,,
,,,,,,,,,,,Nip7,,,,,,
,,,,,,,,,,,Nipa2,,,,,,
,,,,,,,,,,,Nipal2,,,,,,
,,,,,,,,,,,Nipal3,,,,,,
,,,,,,,,,,,Nipsnap1,,,,,,
,,,,,,,,,,,Nipsnap3b,,,,,,
,,,,,,,,,,,Nit1,,,,,,
,,,,,,,,,,,Nkiras2,,,,,,
,,,,,,,,,,,Nlk,,,,,,
,,,,,,,,,,,Nmd3,,,,,,
,,,,,,,,,,,Nme1,,,,,,
,,,,,,,,,,,Nme3,,,,,,
,,,,,,,,,,,Nmt1,,,,,,
,,,,,,,,,,,Nob1,,,,,,
,,,,,,,,,,,Noc2l,,,,,,
,,,,,,,,,,,Noc3l,,,,,,
,,,,,,,,,,,Noc4l,,,,,,
,,,,,,,,,,,Nol6,,,,,,
,,,,,,,,,,,Nol7,,,,,,
,,,,,,,,,,,Nol8,,,,,,
,,,,,,,,,,,Nol9,,,,,,
,,,,,,,,,,,Nom1,,,,,,
,,,,,,,,,,,Nono,,,,,,
,,,,,,,,,,,Nop14,,,,,,
,,,,,,,,,,,Nop2,,,,,,
,,,,,,,,,,,Nop56,,,,,,
,,,,,,,,,,,Nostrin,,,,,,
,,,,,,,,,,,Notch3,,,,,,
,,,,,,,,,,,Nploc4,,,,,,
,,,,,,,,,,,Npm1,,,,,,
,,,,,,,,,,,Npm3,,,,,,
,,,,,,,,,,,Nprl2,,,,,,
,,,,,,,,,,,Nr2f6,,,,,,
,,,,,,,,,,,Nras,,,,,,
,,,,,,,,,,,Nrbf2,,,,,,
,,,,,,,,,,,Nrf1,,,,,,
,,,,,,,,,,,Nrp,,,,,,
,,,,,,,,,,,Nsdhl,,,,,,
,,,,,,,,,,,Nsfl1c,,,,,,
,,,,,,,,,,,Nsmce4a,,,,,,
,,,,,,,,,,,Nsun2,,,,,,
,,,,,,,,,,,Nt5c2,,,,,,
,,,,,,,,,,,Nt5c3,,,,,,
,,,,,,,,,,,Nt5dc1,,,,,,
,,,,,,,,,,,Nub1,,,,,,
,,,,,,,,,,,Nubp1,,,,,,
,,,,,,,,,,,Nucks1,,,,,,
,,,,,,,,,,,Nudt1,,,,,,
,,,,,,,,,,,Nudt18,,,,,,
,,,,,,,,,,,Nudt2,,,,,,
,,,,,,,,,,,Nudt22,,,,,,
,,,,,,,,,,,Nudt3,,,,,,
,,,,,,,,,,,Nudt5,,,,,,
,,,,,,,,,,,Nudt8,,,,,,
,,,,,,,,,,,Nufip1,,,,,,
,,,,,,,,,,,Numb,,,,,,
,,,,,,,,,,,Nup50,,,,,,
,,,,,,,,,,,Nup62,,,,,,
,,,,,,,,,,,Nup93,,,,,,
,,,,,,,,,,,Nupl1,,,,,,
,,,,,,,,,,,Nus1,,,,,,
,,,,,,,,,,,Nvl,,,,,,
,,,,,,,,,,,Nxf1,,,,,,
,,,,,,,,,,,Nxn,,,,,,
,,,,,,,,,,,Nxt1,,,,,,
,,,,,,,,,,,Odf2l,,,,,,
,,,,,,,,,,,Ofd1,,,,,,
,,,,,,,,,,,Ogt,,,,,,
,,,,,,,,,,,Ola1,,,,,,
,,,,,,,,,,,Olfml2a,,,,,,
,,,,,,,,,,,Oma1,,,,,,
,,,,,,,,,,,Opa3,,,,,,
,,,,,,,,,,,Orc2,,,,,,
,,,,,,,,,,,Orc3,,,,,,
,,,,,,,,,,,Ormdl2,,,,,,
,,,,,,,,,,,Ostf1,,,,,,
,,,,,,,,,,,Otub1,,,,,,
,,,,,,,,,,,Otud6b,,,,,,
,,,,,,,,,,,Otud7b,,,,,,
,,,,,,,,,,,Oxa1l,,,,,,
,,,,,,,,,,,Oxsr1,,,,,,
,,,,,,,,,,,P2ry1,,,,,,
,,,,,,,,,,,Pa2g4,,,,,,
,,,,,,,,,,,Pacs1,,,,,,
,,,,,,,,,,,Pacsin2,,,,,,
,,,,,,,,,,,Pafah1b1,,,,,,
,,,,,,,,,,,Pafah1b2,,,,,,
,,,,,,,,,,,Pafah1b3,,,,,,
,,,,,,,,,,,Pafah2,,,,,,
,,,,,,,,,,,Pag1,,,,,,
,,,,,,,,,,,Paip1,,,,,,
,,,,,,,,,,,Pak1,,,,,,
,,,,,,,,,,,Pak1ip1,,,,,,
,,,,,,,,,,,Pak2,,,,,,
,,,,,,,,,,,Pak4,,,,,,
,,,,,,,,,,,Pak6,,,,,,
,,,,,,,,,,,Palmd,,,,,,
,,,,,,,,,,,Pank2,,,,,,
,,,,,,,,,,,Panx1,,,,,,
,,,,,,,,,,,Paox,,,,,,
,,,,,,,,,,,Papd4,,,,,,
,,,,,,,,,,,Papd7,,,,,,
,,,,,,,,,,,Papolg,,,,,,
,,,,,,,,,,,Paqr7,,,,,,
,,,,,,,,,,,Paqr8,,,,,,
,,,,,,,,,,,Parl,,,,,,
,,,,,,,,,,,Parp1,,,,,,
,,,,,,,,,,,Parp4,,,,,,
,,,,,,,,,,,Pawr,,,,,,
,,,,,,,,,,,Pcbd1,,,,,,
,,,,,,,,,,,Pcbd2,,,,,,
,,,,,,,,,,,Pcbp1,,,,,,
,,,,,,,,,,,Pcbp3,,,,,,
,,,,,,,,,,,Pcca,,,,,,
,,,,,,,,,,,Pcgf5,,,,,,
,,,,,,,,,,,Pcgf6,,,,,,
,,,,,,,,,,,Pcif1,,,,,,
,,,,,,,,,,,Pck2,,,,,,
,,,,,,,,,,,Pcsk7,,,,,,
,,,,,,,,,,,Pcx,,,,,,
,,,,,,,,,,,Pcyox1,,,,,,
,,,,,,,,,,,Pcyt2,,,,,,
,,,,,,,,,,,Pdcd10,,,,,,
,,,,,,,,,,,Pdcd11,,,,,,
,,,,,,,,,,,Pdcd2,,,,,,
,,,,,,,,,,,Pdcd6ip,,,,,,
,,,,,,,,,,,Pde2a,,,,,,
,,,,,,,,,,,Pde7a,,,,,,
,,,,,,,,,,,Pdgfa,,,,,,
,,,,,,,,,,,Pdha1,,,,,,
,,,,,,,,,,,Pdhb,,,,,,
,,,,,,,,,,,Pdhx,,,,,,
,,,,,,,,,,,Pdia4,,,,,,
,,,,,,,,,,,Pdk1,,,,,,
,,,,,,,,,,,Pdk2,,,,,,
,,,,,,,,,,,Pdk3,,,,,,
,,,,,,,,,,,Pdp1,,,,,,
,,,,,,,,,,,Peg3,,,,,,
,,,,,,,,,,,Pes1,,,,,,
,,,,,,,,,,,Pet112l,,,,,,
,,,,,,,,,,,Pex11c,,,,,,
,,,,,,,,,,,Pex13,,,,,,
,,,,,,,,,,,Pex14,,,,,,
,,,,,,,,,,,Pex16,,,,,,
,,,,,,,,,,,Pex3,,,,,,
,,,,,,,,,,,Pex6,,,,,,
,,,,,,,,,,,Pex7,,,,,,
,,,,,,,,,,,Pfas,,,,,,
,,,,,,,,,,,Pfdn1,,,,,,
,,,,,,,,,,,Pfdn2,,,,,,
,,,,,,,,,,,Pfkl,,,,,,
,,,,,,,,,,,Pfkm,,,,,,
,,,,,,,,,,,Pfn1,,,,,,
,,,,,,,,,,,Pfn2,,,,,,
,,,,,,,,,,,Pgam5,,,,,,
,,,,,,,,,,,Pgap2,,,,,,
,,,,,,,,,,,Pgk1,,,,,,
,,,,,,,,,,,Pgls,,,,,,
,,,,,,,,,,,Pgm1,,,,,,
,,,,,,,,,,,Pgm2,,,,,,
,,,,,,,,,,,Pgs1,,,,,,
,,,,,,,,,,,Phax,,,,,,
,,,,,,,,,,,Phb,,,,,,
,,,,,,,,,,,Phb2,,,,,,
,,,,,,,,,,,Phc2,,,,,,
,,,,,,,,,,,Phf10,,,,,,
,,,,,,,,,,,Phf16,,,,,,
,,,,,,,,,,,Phf20l1,,,,,,
,,,,,,,,,,,Phkb,,,,,,
,,,,,,,,,,,Phlda1,,,,,,
,,,,,,,,,,,Phlda3,,,,,,
,,,,,,,,,,,Phlpp1,,,,,,
,,,,,,,,,,,Phospho2,,,,,,
,,,,,,,,,,,Phrf1,,,,,,
,,,,,,,,,,,Pi4k2b,,,,,,
,,,,,,,,,,,Pias4,,,,,,
,,,,,,,,,,,Pick1,,,,,,
,,,,,,,,,,,Piga,,,,,,
,,,,,,,,,,,Pigf,,,,,,
,,,,,,,,,,,Pigm,,,,,,
,,,,,,,,,,,Pigp,,,,,,
,,,,,,,,,,,Pigt,,,,,,
,,,,,,,,,,,Pigx,,,,,,
,,,,,,,,,,,Pigy,,,,,,
,,,,,,,,,,,Pim3,,,,,,
,,,,,,,,,,,Pin4,,,,,,
,,,,,,,,,,,Pip4k2c,,,,,,
,,,,,,,,,,,Pip5k1a,,,,,,
,,,,,,,,,,,Pir,,,,,,
,,,,,,,,,,,Pisd,,,,,,
,,,,,,,,,,,Pisd-ps3,,,,,,
,,,,,,,,,,,Pitpna,,,,,,
,,,,,,,,,,,Pitpnb,,,,,,
,,,,,,,,,,,Pitpnm1,,,,,,
,,,,,,,,,,,Pkhd1,,,,,,
,,,,,,,,,,,Pkn1,,,,,,
,,,,,,,,,,,Pkp4,,,,,,
,,,,,,,,,,,Pla2g6,,,,,,
,,,,,,,,,,,Pla2g7,,,,,,
,,,,,,,,,,,Plaa,,,,,,
,,,,,,,,,,,Plagl2,,,,,,
,,,,,,,,,,,Plcb3,,,,,,
,,,,,,,,,,,Plcb4,,,,,,
,,,,,,,,,,,Plcd3,,,,,,
,,,,,,,,,,,Plcg2,,,,,,
,,,,,,,,,,,Pldn,,,,,,
,,,,,,,,,,,Plek2,,,,,,
,,,,,,,,,,,Plekha1,,,,,,
,,,,,,,,,,,Plekha5,,,,,,
,,,,,,,,,,,Plekhf2,,,,,,
,,,,,,,,,,,Plekhh1,,,,,,
,,,,,,,,,,,Plekhj1,,,,,,
,,,,,,,,,,,Plekhm1,,,,,,
,,,,,,,,,,,Plekhm2,,,,,,
,,,,,,,,,,,Plekhn1,,,,,,
,,,,,,,,,,,Plin3,,,,,,
,,,,,,,,,,,Plp1,,,,,,
,,,,,,,,,,,Plrg1,,,,,,
,,,,,,,,,,,Pls1,,,,,,
,,,,,,,,,,,Pm20d1,,,,,,
,,,,,,,,,,,Pmf1,,,,,,
,,,,,,,,,,,Pmm1,,,,,,
,,,,,,,,,,,Pmpca,,,,,,
,,,,,,,,,,,Pmpcb,,,,,,
,,,,,,,,,,,Pmvk,,,,,,
,,,,,,,,,,,Pnkd,,,,,,
,,,,,,,,,,,Pnkp,,,,,,
,,,,,,,,,,,Pnn,,,,,,
,,,,,,,,,,,Pno1,,,,,,
,,,,,,,,,,,Pnpla2,,,,,,
,,,,,,,,,,,Pnpla8,,,,,,
,,,,,,,,,,,Pnpo,,,,,,
,,,,,,,,,,,Poc1b,,,,,,
,,,,,,,,,,,Pogk,,,,,,
,,,,,,,,,,,Pold3,,,,,,
,,,,,,,,,,,Poldip2,,,,,,
,,,,,,,,,,,Poldip3,,,,,,
,,,,,,,,,,,Polg,,,,,,
,,,,,,,,,,,Polr1c,,,,,,
,,,,,,,,,,,Polr2d,,,,,,
,,,,,,,,,,,Polr2f,,,,,,
,,,,,,,,,,,Polr2j,,,,,,
,,,,,,,,,,,Polr2m,,,,,,
,,,,,,,,,,,Polr3a,,,,,,
,,,,,,,,,,,Polr3c,,,,,,
,,,,,,,,,,,Polr3e,,,,,,
,,,,,,,,,,,Polr3k,,,,,,
,,,,,,,,,,,Pomgnt1,,,,,,
,,,,,,,,,,,Pon3,,,,,,
,,,,,,,,,,,Pop4,,,,,,
,,,,,,,,,,,Pop5,,,,,,
,,,,,,,,,,,Pop7,,,,,,
,,,,,,,,,,,Pou2f1,,,,,,
,,,,,,,,,,,Ppa2,,,,,,
,,,,,,,,,,,Ppan,,,,,,
,,,,,,,,,,,Ppapdc2,,,,,,
,,,,,,,,,,,Ppara,,,,,,
,,,,,,,,,,,Ppcs,,,,,,
,,,,,,,,,,,Ppig,,,,,,
,,,,,,,,,,,Ppil2,,,,,,
,,,,,,,,,,,Ppil4,,,,,,
,,,,,,,,,,,Ppip5k2,,,,,,
,,,,,,,,,,,Ppm1b,,,,,,
,,,,,,,,,,,Ppm1d,,,,,,
,,,,,,,,,,,Ppm1g,,,,,,
,,,,,,,,,,,Ppm1l,,,,,,
,,,,,,,,,,,Ppme1,,,,,,
,,,,,,,,,,,Ppox,,,,,,
,,,,,,,,,,,Ppp1ca,,,,,,
,,,,,,,,,,,Ppp1r11,,,,,,
,,,,,,,,,,,Ppp1r13b,,,,,,
,,,,,,,,,,,Ppp1r13l,,,,,,
,,,,,,,,,,,Ppp1r16a,,,,,,
,,,,,,,,,,,Ppp1r36,,,,,,
,,,,,,,,,,,Ppp1r37,,,,,,
,,,,,,,,,,,Ppp1r7,,,,,,
,,,,,,,,,,,Ppp1r9a,,,,,,
,,,,,,,,,,,Ppp2ca,,,,,,
,,,,,,,,,,,Ppp2cb,,,,,,
,,,,,,,,,,,Ppp2r1a,,,,,,
,,,,,,,,,,,Ppp2r1b,,,,,,
,,,,,,,,,,,Ppp2r2a,,,,,,
,,,,,,,,,,,Ppp2r2b,,,,,,
,,,,,,,,,,,Ppp2r3a,,,,,,
,,,,,,,,,,,Ppp2r5a,,,,,,
,,,,,,,,,,,Ppp2r5c,,,,,,
,,,,,,,,,,,Ppp3ca,,,,,,
,,,,,,,,,,,Ppp4c,,,,,,
,,,,,,,,,,,Ppp4r1,,,,,,
,,,,,,,,,,,Ppp6c,,,,,,
,,,,,,,,,,,Ppp6r1,,,,,,
,,,,,,,,,,,Ppp6r3,,,,,,
,,,,,,,,,,,Pppde2,,,,,,
,,,,,,,,,,,Pptc7,,,,,,
,,,,,,,,,,,Ppwd1,,,,,,
,,,,,,,,,,,Pqlc1,,,,,,
,,,,,,,,,,,Prdm4,,,,,,
,,,,,,,,,,,Prdx6,,,,,,
,,,,,,,,,,,Prelid1,,,,,,
,,,,,,,,,,,Prep,,,,,,
,,,,,,,,,,,Prepl,,,,,,
,,,,,,,,,,,Prickle3,,,,,,
,,,,,,,,,,,Prkab2,,,,,,
,,,,,,,,,,,Prkar2b,,,,,,
,,,,,,,,,,,Prkcd,,,,,,
,,,,,,,,,,,Prkci,,,,,,
,,,,,,,,,,,Prkcz,,,,,,
,,,,,,,,,,,Prkrip1,,,,,,
,,,,,,,,,,,Prkx,,,,,,
,,,,,,,,,,,Prmt1,,,,,,
,,,,,,,,,,,Prmt2,,,,,,
,,,,,,,,,,,Prmt7,,,,,,
,,,,,,,,,,,Prodh,,,,,,
,,,,,,,,,,,Prpf3,,,,,,
,,,,,,,,,,,Prpf31,,,,,,
,,,,,,,,,,,Prpf38a,,,,,,
,,,,,,,,,,,Prpf38b,,,,,,
,,,,,,,,,,,Prpf4,,,,,,
,,,,,,,,,,,Prpf40a,,,,,,
,,,,,,,,,,,Prpf6,,,,,,
,,,,,,,,,,,Prps1l3,,,,,,
,,,,,,,,,,,Prpsap2,,,,,,
,,,,,,,,,,,Prrg2,,,,,,
,,,,,,,,,,,Prrg4,,,,,,
,,,,,,,,,,,Prune,,,,,,
,,,,,,,,,,,Psat1,,,,,,
,,,,,,,,,,,Psenen,,,,,,
,,,,,,,,,,,Psma1,,,,,,
,,,,,,,,,,,Psma2,,,,,,
,,,,,,,,,,,Psma6,,,,,,
,,,,,,,,,,,Psma7,,,,,,
,,,,,,,,,,,Psmb1,,,,,,
,,,,,,,,,,,Psmb2,,,,,,
,,,,,,,,,,,Psmb3,,,,,,
,,,,,,,,,,,Psmb5,,,,,,
,,,,,,,,,,,Psmb6,,,,,,
,,,,,,,,,,,Psmc1,,,,,,
,,,,,,,,,,,Psmc2,,,,,,
,,,,,,,,,,,Psmc3,,,,,,
,,,,,,,,,,,Psmc4,,,,,,
,,,,,,,,,,,Psmc5,,,,,,
,,,,,,,,,,,Psmc6,,,,,,
,,,,,,,,,,,Psmd1,,,,,,
,,,,,,,,,,,Psmd10,,,,,,
,,,,,,,,,,,Psmd11,,,,,,
,,,,,,,,,,,Psmd12,,,,,,
,,,,,,,,,,,Psmd2,,,,,,
,,,,,,,,,,,Psmd3,,,,,,
,,,,,,,,,,,Psmd4,,,,,,
,,,,,,,,,,,Psmd5,,,,,,
,,,,,,,,,,,Psmd6,,,,,,
,,,,,,,,,,,Psmd8,,,,,,
,,,,,,,,,,,Psme3,,,,,,
,,,,,,,,,,,Psmg3,,,,,,
,,,,,,,,,,,Pspc1,,,,,,
,,,,,,,,,,,Psph,,,,,,
,,,,,,,,,,,Ptbp1,,,,,,
,,,,,,,,,,,Ptbp2,,,,,,
,,,,,,,,,,,Ptcd3,,,,,,
,,,,,,,,,,,Ptdss1,,,,,,
,,,,,,,,,,,Ptger4,,,,,,
,,,,,,,,,,,Ptges2,,,,,,
,,,,,,,,,,,Ptges3,,,,,,
,,,,,,,,,,,Ptgr2,,,,,,
,,,,,,,,,,,Ptp4a3,,,,,,
,,,,,,,,,,,Ptplad1,,,,,,
,,,,,,,,,,,Ptplad2,,,,,,
,,,,,,,,,,,Ptpmt1,,,,,,
,,,,,,,,,,,Ptpn1,,,,,,
,,,,,,,,,,,Ptpn14,,,,,,
,,,,,,,,,,,Ptpn3,,,,,,
,,,,,,,,,,,Ptpn6,,,,,,
,,,,,,,,,,,Ptprd,,,,,,
,,,,,,,,,,,Ptpre,,,,,,
,,,,,,,,,,,Ptprr,,,,,,
,,,,,,,,,,,Puf60,,,,,,
,,,,,,,,,,,Pum2,,,,,,
,,,,,,,,,,,Pus1,,,,,,
,,,,,,,,,,,Pus10,,,,,,
,,,,,,,,,,,Pus7,,,,,,
,,,,,,,,,,,Pwp1,,,,,,
,,,,,,,,,,,Pxn,,,,,,
,,,,,,,,,,,Pycr2,,,,,,
,,,,,,,,,,,Pyroxd1,,,,,,
,,,,,,,,,,,Qars,,,,,,
,,,,,,,,,,,Qdpr,,,,,,
,,,,,,,,,,,Qrich1,,,,,,
,,,,,,,,,,,Qtrt1,,,,,,
,,,,,,,,,,,Qtrtd1,,,,,,
,,,,,,,,,,,Rab14,,,,,,
,,,,,,,,,,,Rab22a,,,,,,
,,,,,,,,,,,Rab27a,,,,,,
,,,,,,,,,,,Rab33b,,,,,,
,,,,,,,,,,,Rab35,,,,,,
,,,,,,,,,,,Rab3ip,,,,,,
,,,,,,,,,,,Rab40c,,,,,,
,,,,,,,,,,,Rab4a,,,,,,
,,,,,,,,,,,Rab5a,,,,,,
,,,,,,,,,,,Rab9,,,,,,
,,,,,,,,,,,Rabep2,,,,,,
,,,,,,,,,,,Rabggtb,,,,,,
,,,,,,,,,,,Rac1,,,,,,
,,,,,,,,,,,Rad50,,,,,,
,,,,,,,,,,,Rad54l2,,,,,,
,,,,,,,,,,,Rai1,,,,,,
,,,,,,,,,,,Ralgapa2,,,,,,
,,,,,,,,,,,Ran,,,,,,
,,,,,,,,,,,Rangap1,,,,,,
,,,,,,,,,,,Rap1gap,,,,,,
,,,,,,,,,,,Rapgefl1,,,,,,
,,,,,,,,,,,Rars,,,,,,
,,,,,,,,,,,Rars2,,,,,,
,,,,,,,,,,,Rasa2,,,,,,
,,,,,,,,,,,Rasgef1b,,,,,,
,,,,,,,,,,,Rassf3,,,,,,
,,,,,,,,,,,Rassf5,,,,,,
,,,,,,,,,,,Rassf6,,,,,,
,,,,,,,,,,,Rassf7,,,,,,
,,,,,,,,,,,Rbbp7,,,,,,
,,,,,,,,,,,Rbbp8,,,,,,
,,,,,,,,,,,Rbm10,,,,,,
,,,,,,,,,,,Rbm12,,,,,,
,,,,,,,,,,,Rbm14,,,,,,
,,,,,,,,,,,Rbm15,,,,,,
,,,,,,,,,,,Rbm15b,,,,,,
,,,,,,,,,,,Rbm17,,,,,,
,,,,,,,,,,,Rbm26,,,,,,
,,,,,,,,,,,Rbm34,,,,,,
,,,,,,,,,,,Rbm39,,,,,,
,,,,,,,,,,,Rbm4,,,,,,
,,,,,,,,,,,Rbm6,,,,,,
,,,,,,,,,,,Rbm7,,,,,,
,,,,,,,,,,,Rcan1,,,,,,
,,,,,,,,,,,Rce1,,,,,,
,,,,,,,,,,,Rdbp,,,,,,
,,,,,,,,,,,Rdh10,,,,,,
,,,,,,,,,,,Reg3g,,,,,,
,,,,,,,,,,,Rela,,,,,,
,,,,,,,,,,,Relb,,,,,,
,,,,,,,,,,,Rell1,,,,,,
,,,,,,,,,,,Repin1,,,,,,
,,,,,,,,,,,Reps1,,,,,,
,,,,,,,,,,,Reps2,,,,,,
,,,,,,,,,,,Retsat,,,,,,
,,,,,,,,,,,Rfc3,,,,,,
,,,,,,,,,,,Rffl,,,,,,
,,,,,,,,,,,Rfk,,,,,,
,,,,,,,,,,,Rfwd3,,,,,,
,,,,,,,,,,,Rfx2,,,,,,
,,,,,,,,,,,Rfx7,,,,,,
,,,,,,,,,,,Rfxank,,,,,,
,,,,,,,,,,,Rg9mtd1,,,,,,
,,,,,,,,,,,Rgl3,,,,,,
,,,,,,,,,,,Rgnef,,,,,,
,,,,,,,,,,,Rgs10,,,,,,
,,,,,,,,,,,Rgs12,,,,,,
,,,,,,,,,,,Rhbdd1,,,,,,
,,,,,,,,,,,Rhbdd2,,,,,,
,,,,,,,,,,,Rhbdf2,,,,,,
,,,,,,,,,,,Rhbdl2,,,,,,
,,,,,,,,,,,Rheb,,,,,,
,,,,,,,,,,,Rhof,,,,,,
,,,,,,,,,,,Rhot1,,,,,,
,,,,,,,,,,,Rif1,,,,,,
,,,,,,,,,,,Riok1,,,,,,
,,,,,,,,,,,Riok2,,,,,,
,,,,,,,,,,,Riok3,,,,,,
,,,,,,,,,,,Rln1,,,,,,
,,,,,,,,,,,Rnaseh2a,,,,,,
,,,,,,,,,,,Rnaseh2b,,,,,,
,,,,,,,,,,,Rnaset2b,,,,,,
,,,,,,,,,,,Rnf111,,,,,,
,,,,,,,,,,,Rnf113a2,,,,,,
,,,,,,,,,,,Rnf114,,,,,,
,,,,,,,,,,,Rnf115,,,,,,
,,,,,,,,,,,Rnf123,,,,,,
,,,,,,,,,,,Rnf125,,,,,,
,,,,,,,,,,,Rnf138,,,,,,
,,,,,,,,,,,Rnf139,,,,,,
,,,,,,,,,,,Rnf141,,,,,,
,,,,,,,,,,,Rnf146,,,,,,
,,,,,,,,,,,Rnf149,,,,,,
,,,,,,,,,,,Rnf166,,,,,,
,,,,,,,,,,,Rnf169,,,,,,
,,,,,,,,,,,Rnf25,,,,,,
,,,,,,,,,,,Rnf41,,,,,,
,,,,,,,,,,,Rnf44,,,,,,
,,,,,,,,,,,Rnf5,,,,,,
,,,,,,,,,,,Rnf6,,,,,,
,,,,,,,,,,,Rnf7,,,,,,
,,,,,,,,,,,Rnf8,,,,,,
,,,,,,,,,,,Rnls,,,,,,
,,,,,,,,,,,Rnmt,,,,,,
,,,,,,,,,,,Rnpc3,,,,,,
,,,,,,,,,,,Rnpep,,,,,,
,,,,,,,,,,,Rnpepl1,,,,,,
,,,,,,,,,,,Rnps1,,,,,,
,,,,,,,,,,,Rogdi,,,,,,
,,,,,,,,,,,Rpe,,,,,,
,,,,,,,,,,,Rpf1,,,,,,
,,,,,,,,,,,Rpf2,,,,,,
,,,,,,,,,,,Rpgrip1l,,,,,,
,,,,,,,,,,,Rpl15,,,,,,
,,,,,,,,,,,Rpl26,,,,,,
,,,,,,,,,,,Rpl30,,,,,,
,,,,,,,,,,,Rpl34,,,,,,
,,,,,,,,,,,Rpl7a,,,,,,
,,,,,,,,,,,Rpl7l1,,,,,,
,,,,,,,,,,,Rpp21,,,,,,
,,,,,,,,,,,Rpp38,,,,,,
,,,,,,,,,,,Rps19bp1,,,,,,
,,,,,,,,,,,Rps4y2,,,,,,
,,,,,,,,,,,Rps6ka1,,,,,,
,,,,,,,,,,,Rps6kb1,,,,,,
,,,,,,,,,,,Rqcd1,,,,,,
,,,,,,,,,,,Rraga,,,,,,
,,,,,,,,,,,Rras2,,,,,,
,,,,,,,,,,,Rrn3,,,,,,
,,,,,,,,,,,Rrp1,,,,,,
,,,,,,,,,,,Rrp15,,,,,,
,,,,,,,,,,,Rrp36,,,,,,
,,,,,,,,,,,Rrp7a,,,,,,
,,,,,,,,,,,Rrp9,,,,,,
,,,,,,,,,,,Rrs1,,,,,,
,,,,,,,,,,,Rsl1d1,,,,,,
,,,,,,,,,,,Rsph3a,,,,,,
,,,,,,,,,,,Rsph3b,,,,,,
,,,,,,,,,,,Rsrc1,,,,,,
,,,,,,,,,,,Rsrc2,,,,,,
,,,,,,,,,,,Rundc1,,,,,,
,,,,,,,,,,,Ruvbl2,,,,,,
,,,,,,,,,,,Rwdd4a,,,,,,
,,,,,,,,,,,S100a5,,,,,,
,,,,,,,,,,,Sae1,,,,,,
,,,,,,,,,,,Safb2,,,,,,
